‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,13
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[10, 11]"
animation_speed,100
sampling_length,6000
vec_length,28







0.0,5.791859371627668e-06,-0.0006637777892702262,-6.118508229696448e-06,0.00043187117151794374,-2.152761372505929e-06,-0.0008902457220921307,1.6195029832597313e-05,0.0002398488832438528,-2.1507300939204976e-06,-0.0017795192115475837,-3.1466725525409336e-05,-0.0003919207675086854,-8.700373358384851e-05,-0.0023093667060832745,-0.00012100034488620897,-0.0022181479296523106,-0.00010576228515373118,0.0025640259322325695,-3.224128175520087e-05,0.004858661455585171,6.261345990718134e-05,0.0075149032232517425,0.00019873678918401081,0.008525477317370777,0.0003620070646437763,0.0065471962513701815,0.000554764551010682,0.012713203500227335
0.0,-3.8525694062394723e-05,0.004564112018583585,1.4700669666759122e-05,-0.0001396637809197154,1.5285304697910154e-06,-0.00022635632628213611,-1.3390444410327524e-06,-0.00043884817409494396,-8.376269020672822e-07,-0.0010965031198149093,-2.069794698680277e-05,-8.701164374545624e-05,-9.714818569828567e-05,-0.0064642628108248,-0.00012785135837989098,0.0012988091052855086,-0.00011442609967773273,0.0005876327123129003,-2.7517451378118023e-05,0.007258310186129705,8.458460652106619e-05,0.005458445186312841,0.00020508683239882602,0.007340222762410904,0.00037993548802521554,0.00883577310641165,0.0005514056014580186,0.009358437319198517
0.0,-3.669339616078835e-05,0.001596426216219133,1.8864069872060856e-05,0.0031073519983911726,1.2362983482464068e-05,-0.0017618753854009347,-1.4565138011986153e-05,6.55577914672938e-05,-8.602821088933927e-06,0.000673838755203971,-5.2948113743386095e-06,-0.0005109459559128832,-9.243113052389703e-05,-0.0043383488556971985,-0.00014551914241219829,-0.002424453816396902,-0.00010777201144682583,0.005760258590887779,-3.363472236953106e-05,0.006443626460326803,0.00010499057496778101,0.005202234393631867,0.00021975584715596644,0.0057744848213391094,0.0003906600520916306,0.011091548609111133,0.0005547524795958198,0.00681397056590941
0.0,-4.201173014791105e-05,0.0028685801364338173,1.514828066702265e-05,0.002272919305510048,2.5611353122036267e-05,-0.0007322573411212948,-2.691025947049096e-05,-0.002043145157294679,-1.2933074158530617e-05,0.000679643557905817,-1.170816682325883e-05,0.00020568528818628473,-6.228015033178122e-05,-0.008076885714422857,-0.00015743012277976247,-0.00017160060267359077,-0.00012133398276956976,0.004993989636258289,-1.2614878420950892e-05,0.006114055932119016,0.00010277243859564241,0.006215314270568452,0.00024955056328501447,0.006828212932292279,0.00038796158351793957,0.007988908050418695,0.0005999582292170048,0.013050791991435499
0.0,-3.586552400792485e-05,0.002530320095214228,1.2179170392747089e-05,0.0026139609640026653,2.015568901633438e-05,-0.0019009196928986764,-1.1475863517971252e-05,-0.0027979761727081284,-3.5805131774648356e-05,0.0013394812621254938,2.9619661910499466e-06,3.188445858183435e-05,-5.94955560190809e-05,-0.004308167780407393,-0.00015103489318636377,-0.005036222621843169,-0.00013030221054988154,0.00590588689879295,-3.5389445955509803e-06,0.005818852716873619,0.00011313741502886999,0.008226025345585575,0.00026261111834230085,0.007076541999193918,0.0004047553944347864,0.007342695742532182,0.000602320877283254,0.012290250428881575
0.0,-3.464804909047933e-05,0.0040795466522775105,7.474320390378837e-06,-4.745982775197538e-05,1.9999404575018875e-05,-1.5743838454612897e-05,-1.0010459912742646e-05,-0.002286385192922672,-3.2608122963443345e-05,0.000682406420423756,-1.0391973052483956e-05,5.63430005199575e-05,-4.804366810177216e-05,-0.0038925000016449517,-0.00014130121122740886,-0.003586469439821289,-0.00013003824200347457,0.0018062078494781508,-8.938474081288317e-06,0.010000195320462368,0.00013247757998564028,0.00773825753243149,0.0002657251877104278,0.006872707250762305,0.00043583619490428075,0.009187897015082993,0.0005693832378230704,0.005558263037181205
0.0,-4.026156737016051e-06,-0.0006126649743475426,-1.1827105510456069e-08,0.001461375179348689,1.3819124702677781e-05,-0.0011542289996054058,-7.007424784003015e-06,7.554012829146417e-05,-1.9364515525025466e-05,-0.0004830374583795234,-2.1960955572857197e-05,-2.0197306569938526e-05,-5.396595292836201e-05,-0.0036282277618242646,-0.00011157036157197214,-0.002649588858062753,-0.00013136974261460804,0.0023060451937926786,-2.2777897936984183e-05,0.008521957231615303,0.00015326030015756054,0.00689636370908309,0.00027675306151421963,0.008838923471574455,0.0004536401989564301,0.006108694482785903,0.0005827782218033462,0.008338849068670513
0.0,-6.582296129216535e-07,0.00025116950265976676,2.6897006002327023e-06,-8.147296375225165e-05,-3.366297332593468e-06,0.0002649181496632146,1.0007598910770852e-06,-0.0010954247780683934,-2.952311335812584e-06,0.000593841567237006,-2.543251342774608e-05,-0.0005087998264065735,-6.0174738668878204e-05,-0.0018273564771069443,-8.763532038729137e-05,-0.00185680541229205,-0.00012422237210133974,0.002881853804235169,-2.2535108288479712e-05,0.0075605343186649545,0.00013978032077519478,0.008867291888930129,0.0003212168296429257,0.006334167912308433,0.0004520136761141823,0.008965971629262938,0.0005871014847073867,0.005685769017128951
0.0,9.466348569407e-06,0.0004694230010860754,-1.840467027419243e-06,-0.001565119279585083,-1.194064638277061e-05,-0.00032587266200402495,8.680729949770743e-06,0.00207726918485219,1.4292972332095425e-07,-0.002072776743946663,-1.6824649017961112e-05,-4.195820049757886e-06,-4.9714194432669846e-05,-0.0029838701486151168,-8.820234864995588e-05,-0.0018767861363488828,-8.868409749773915e-05,0.0014032202607440964,-3.828860322705348e-05,0.006451031312219184,0.00014388269864717783,0.00933117011566361,0.0003464272898465891,0.00923874292784354,0.0004555202566498213,0.005725689874473662,0.000617327644721434,0.009762787774453328
0.0,2.9104907486020504e-05,-0.0015108961861682224,-8.862347471890437e-06,-0.0019106324500899282,-1.6344555612987518e-05,0.00038835733588956213,1.0581118756622094e-05,0.0010509090540772343,8.690983251805925e-06,-0.00020499105244885458,-5.56366420449597e-06,-7.884790965015654e-05,-3.701068457664721e-05,-0.0041387286096932815,-8.193817553212929e-05,5.251278909972903e-05,-6.914343765856264e-05,0.0003049432270065713,-3.222178991318838e-05,0.00438099169150996,0.00014678544921581434,0.014585287270833412,0.0003448563401148563,0.00776196099333166,0.0004883898835504194,0.006601258777608936,0.00059227590193111,0.004414638414649949
0.0,4.611108295320684e-05,-0.003512747181360485,-1.5914908218053773e-05,-0.0017814894169738825,-1.4580840390137044e-05,0.0006766347422480514,6.29054697721643e-06,6.311840505491162e-05,1.5788973637121178e-05,0.001959940375001042,1.3784948579487957e-05,-0.0006056768637033962,-3.401738460936896e-05,-0.0011522061457212773,-6.495304370043236e-05,-0.0014802191491311673,-6.255021039296306e-05,-0.0005201576301533985,-1.1512095803834098e-05,0.00584015161234953,0.0001410014163629025,0.0102060519351069,0.00034807198128941684,0.01069183352549677,0.0005140234197617192,0.00483269766833985,0.000595444902977479,0.0047214132166432604
0.0,4.177107932901706e-05,-0.002622866352857566,-1.4478550013211328e-05,-0.002341087308530117,-1.112209008261965e-05,0.0003994996847527349,-3.0021451387378026e-06,0.0026290655761736096,1.864027847245343e-05,-0.0013792425993108756,1.6862955178203353e-05,-2.8099498690065523e-05,-1.4692834362308188e-05,-0.002277638856937613,-4.464397722845142e-05,-0.0004098953196863315,-6.540017153932196e-05,0.0012904148685319253,1.8265193212574238e-05,0.00634574956146804,0.00013480192908897366,0.00762385763959467,0.000351309524019036,0.011793455088424288,0.0005300052289401578,0.005652461286504978,0.0006052370259468609,0.0035712713305578033
0.0,2.6379081471700208e-05,-0.0023136568729046044,4.244524284490625e-06,-0.0008964453865449361,-2.7145998783149995e-05,0.001049372808972891,1.5378899053808585e-06,0.00048558774554646495,1.984691855959053e-05,0.0011048999539001497,4.044468618811886e-06,-0.0001229447812361821,1.2300309599012226e-05,-0.0009604551496824707,-4.125714175574843e-05,-0.003840835823282652,-4.3450724600699875e-05,0.004439684703490645,2.447100379382922e-05,0.003377888431781066,0.0001545634795182995,0.007978547222508119,0.0003434063395015826,0.010839810874895304,0.0005367010432492828,0.007932119770589488,0.0006337732847236516,0.0038106128247174386
0.0,1.740292598203813e-05,-0.0012702057016371038,6.9631549384957035e-06,-0.00015423930076735972,-2.317299910840884e-05,-0.0009125831923617573,-1.183635751491741e-06,0.0017521773919931937,7.74034919589771e-06,-0.0014245794999500705,7.973292142763388e-06,0.0005703065178052017,2.2289300462841462e-05,-0.002681987252368642,-2.727871511143932e-05,-0.0016020522451236888,-2.519868350840041e-05,0.0015621035190991615,3.786575179200819e-05,0.005842372127510608,0.0001678696298722599,0.008032246142713303,0.00034696483989691705,0.010106241386065739,0.0005218723926129555,0.009850705941941327,0.0006964491855687941,0.0077808076559494075
0.0,7.144897228746975e-06,0.0012583492652015874,8.155103315189335e-07,-0.001971922354362482,-4.3574259327665e-06,0.0004601687162439414,-1.5088683237052437e-05,-0.00041226082512622664,2.9915257440934166e-06,0.00034359609927648373,2.0902828851121032e-05,7.995905812939848e-05,1.4589450424084141e-06,0.00042709359625126963,2.546463934607885e-06,-0.002114743922971459,-1.1680898639583335e-05,0.0002894996460057968,5.096006920657381e-05,0.005581259267000927,0.00018765898853347898,0.008515588529754656,0.00034179250721492154,0.008182727403945322,0.0005121245709243879,0.01042683243031477,0.0007670027181977313,0.014696950171525204
0.0,2.605236282794777e-05,-0.003852519150636214,-3.3205232514791326e-06,0.001548026053901033,4.4953361675708345e-06,-0.0006594167391562279,-1.9240769253880148e-05,-0.0012793927874422883,-1.824185016360447e-06,0.002578355224799513,8.696087740734318e-06,-0.00039722624871242065,2.4734897716830147e-06,0.0014157608823978816,1.6023986687999563e-05,0.0011831078728180883,1.0045053331100796e-05,-0.0012810489684165708,6.638116869360826e-05,0.006169415768077465,0.00020349973696969637,0.008723404856368324,0.0003296816072098658,0.005551781650517606,0.0005189822114421739,0.01267963356718536,0.0008000706446907038,0.01599399300059629
0.0,7.766756137526193e-08,-0.00010776020454645386,6.347485999846633e-06,0.0002560008351420405,3.174861913318389e-06,-0.00035158421895924434,-1.4395498644489535e-05,0.0006234910651624563,-1.6952803830542825e-05,-0.0006830111035617693,-7.80723257786663e-06,0.0001807372745818071,1.2369666115304903e-05,0.0007867318292981949,1.9949273084745574e-05,0.001672044930511025,3.916961117009959e-05,0.000600148643970277,8.445652952231715e-05,0.005120959884964336,0.00021076635836325068,0.005534033818368123,0.0003228543582751671,0.007701878887694185,0.0005303300370329952,0.012642062046871573,0.0008231570458805763,0.01712014275209429
0.0,-2.7584535368674792e-05,0.004348985881890802,1.7736770988341645e-05,-0.0010564862963483002,-5.739446569247906e-06,0.0002655614518113163,-4.3744288034315755e-06,-0.001107979591220581,-2.717269451592979e-05,-0.0008986056362358832,-1.6034138966374936e-05,0.00027153571414914444,7.987988133983036e-06,0.0021019181386716175,3.208245177089081e-05,-0.0004559119647441474,5.7425576455326405e-05,0.004371495463618034,0.00012424653017636153,0.002515790065390557,0.00019318217531224944,0.004482425585037391,0.0003313532006105737,0.008930911239189933,0.0005444202832429471,0.015125363466454616,0.0008141290249830879,0.012339064153926277
0.0,5.510151226237152e-07,-0.0010733408169967405,6.460183887724406e-06,0.0023052613325652157,3.5467677492885162e-06,-0.002077405994045359,-8.644159490644354e-06,-0.0013959224478397765,-2.2547334999659956e-05,9.927757434554433e-05,-2.339611632374964e-05,0.00027146394428063025,6.2852690582469745e-06,0.0008284348736431101,3.6657519675483735e-05,0.0019203313251266972,8.449387175530726e-05,0.0035881392839460266,0.00015424850865998203,0.002041928917539289,0.00018502460053566703,0.002788188653181952,0.0003340576974757287,0.01271908857635902,0.0005617190545217664,0.012899399435446103,0.0008193774481154239,0.012681576970181907
0.0,-2.471994600020648e-06,0.000831612448306969,-2.7922179159331038e-06,-0.0005091620398458338,1.9875502277102145e-05,0.00014401719660220985,-2.0400416299742804e-05,-0.0011604153483381475,-1.5798258947172407e-05,0.0009171344178659131,-1.143595756863978e-05,-9.094580995660132e-05,-5.603451400576527e-06,0.0012806917836270183,4.1267255206295214e-05,0.0039058972207408208,0.00012200016584017358,0.003442642367817745,0.00016141882758049933,6.264750598718302e-05,0.00019727117101849668,0.004126557785085332,0.000328298953699601,0.011767082522694417,0.0005860954429990108,0.012771653741336007,0.0008081800564934426,0.010864551536168452
0.0,-4.141698583012895e-06,0.0006043294950339148,2.6700271860792204e-06,0.00022351376668309998,8.131515689125826e-06,-0.0007771025014047514,-6.720250355434241e-06,-0.00022758393288874532,-2.2112354625176854e-05,0.0013356689628656097,8.43437519233842e-06,-0.0004386328658484235,-1.5131788465939059e-05,0.0021817401925981407,5.049374366831489e-05,0.00658978015158498,0.00015173859459293216,0.0019450566884158956,0.00016886945906226228,0.0005722625019650019,0.0002036291360380644,0.004540255445439536,0.0003459573455138103,0.009466054368338061,0.0005882427159358352,0.013797511738724172,0.0008167921338529272,0.010931220787806048
0.0,-1.2443741125985375e-05,0.0017812924546394958,1.063435958526939e-05,1.8196239416816315e-05,-4.206993025563827e-06,-0.000518134659470506,-2.8652803166370976e-06,-0.00046334018412162226,-6.309952563678241e-06,0.0007342083395556485,-4.7122476345309365e-06,-0.00017120383084513296,-3.528197552671925e-06,0.0009671276731880766,6.580404934033001e-05,0.0076498610236960295,0.00016372187760877466,0.0018777118289604305,0.00017902263907181905,-0.0004742462804153233,0.00021820187760971695,0.004479630290042661,0.00036998730999391943,0.010748477251901648,0.000574290222215798,0.010919717807213502,0.0008606994368507531,0.0174661723648498
