‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,12
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[8, 9]"
animation_speed,100
sampling_length,6000
vec_length,26







0.0,4.150918426159798e-06,0.0013437905877107014,-1.2362290730782488e-07,-0.0011538197355697578,-1.98130330209569e-06,-0.001599276571235558,-2.9094069869387375e-05,-0.00048010506826157265,-2.2087717765353047e-05,0.00010009275382541042,-2.5066209287294275e-05,-0.0010827030072011596,-7.36373557930151e-05,-0.002851492656031473,-8.564472355162837e-05,0.0034262124647869647,-4.2781142658491346e-05,0.006007126853497669,0.00015897908494895045,0.011020560727735598,0.0003788150404310278,0.007282550577428073,0.0005277347061975059,0.0072987367318668095,0.000640570327712808,0.004889749429385406
0.0,1.2490113200454177e-06,0.0006976069125201202,6.286934924947777e-06,2.4841786248965634e-05,-5.163697820506337e-06,-0.001768575609866335,-3.1879563887127995e-05,-0.00025570442715891744,-1.3249910642580641e-05,4.6299052772567944e-05,-3.620724113973662e-05,-0.0014737171416383667,-4.8646758236349556e-05,0.0008768825447402661,-7.418632048395884e-05,-0.0009851176308931465,-4.0935890297332744e-05,0.004654313520723015,0.00017050057700056226,0.012617614948534353,0.0003812230439110566,0.007040598979255672,0.0005363451005504112,0.005535664509114434,0.0006699862355901115,0.0073230382534452635
0.0,-8.335198406448529e-07,-0.0002520644315095592,1.4794922300515002e-05,0.0010227574286920487,-1.5968808532596432e-05,-0.0016030100067612803,-2.1324671005472155e-05,0.00029417169476139536,-7.0323357540226584e-06,-0.00036024586632711587,-4.179332215143865e-05,0.001071701574686181,-3.359753444776558e-05,0.0013977735344538693,-5.887035314565602e-05,-0.004600648836582598,-2.6261387002930023e-05,0.007462130968851737,0.00016657665005909958,0.009039540456751302,0.00039435148726598606,0.009437053524263928,0.0005400121888795702,0.0069600365626536,0.000694321417718173,0.0087353332736097
0.0,-1.2706339318809265e-05,0.0029907961178190887,1.2995056334091395e-05,-0.0016031654567371428,-1.5763638301828136e-05,-0.00016997791728081094,-1.1067821261913875e-05,0.0006184820213456274,-1.1427540886283336e-05,-0.0002890517779541696,-3.245456416715157e-05,4.816155054752639e-05,-1.5675870715066523e-05,0.00048345057192323464,-5.401982442538147e-05,0.0011495676074407552,-4.580656534277452e-06,0.0022693202242216617,0.00017438885456581878,0.010826916209501828,0.000382103031782809,0.010304630043097217,0.0005579125474767933,0.007130184298130948,0.0007000873461728415,0.0059373742531491445
0.0,1.7610443306101306e-05,-0.0013358913274946844,-1.9232311230825467e-06,-0.0003302450036895632,-8.205531089713646e-06,-0.0003108630340243722,-4.443373501774986e-06,0.0005212699021101932,-1.6966709052479416e-05,-0.00023401105909986135,5.221476907042342e-07,0.0009183565676190264,-3.230620007987452e-05,-0.0007583521461900188,-2.6864959984197535e-05,0.0011571726936292891,2.4762653580131813e-05,0.005355472291989532,0.00016472725990576275,0.00886499208583325,0.00037997948941410984,0.009784621409261049,0.0005730038736848455,0.010149458793190628,0.0007048593958204002,0.0032048405701818553
0.0,3.9787722818659436e-05,-0.004509466754804713,-1.3770974206609352e-05,-7.039618318048958e-05,2.0189223099674236e-06,0.0018850165891792774,-1.0754011049552472e-05,-0.0021889094275254883,2.3130749405948993e-06,0.0004915580284228154,1.3079408964004891e-05,-0.0013664942061522684,-3.01776376806661e-05,-0.0019786374083020594,-1.1919634724141802e-05,0.002420134857330522,5.5103198829691864e-05,0.0044481986734493,0.00017062315991127848,0.007482823116375982,0.0003631990756859153,0.012141763235070761,0.0005839554217514386,0.005926444928539674,0.0007665728963513711,0.01230428593678075
0.0,3.402303664387755e-05,-0.002771695203531613,-1.7221836542592562e-05,-0.001009923097480042,4.245746365792889e-06,0.00013111688195267002,1.4585461428806262e-06,0.0022002295506522917,1.5580323292640915e-05,0.00011911543016207367,1.0055253305966698e-05,-0.0022608979932326446,-1.668870405112559e-05,-0.0023105434443272455,-2.2743196677570406e-06,0.002918079931335029,8.934848183588354e-05,0.004567730852110099,0.00016714209787927227,0.006415081022142575,0.0003625546241247551,0.00853867951897176,0.000588437236581294,0.01182397715983138,0.0007717807697383816,0.006680427643715659
0.0,1.1864259883999571e-05,-0.0008630894719445462,1.15526010404217e-06,-0.0007734989353771881,-1.678428632751827e-05,0.0006589832243789714,2.454490407686564e-05,0.00210877850626469,2.025012983520188e-05,-7.887760631242881e-06,4.5449872142898565e-06,-0.0023391284068290273,-4.782801015267265e-06,-0.0017267483427488809,2.168975124905506e-05,0.004773015211753388,9.602154772245027e-05,0.004204888263474072,0.00019507954963965846,0.00504910427485431,0.0003470867030874988,0.011327955538074233,0.0005843627175908617,0.010894117359420199,0.0008345804366231716,0.013120937792363787
0.0,-7.497691017772792e-06,0.0013707031898707556,1.0649196714287274e-05,-0.001542907312352039,-2.0413774495350956e-05,0.002678810753372659,2.9304539429372247e-05,0.0007749480122705554,1.957142846060098e-05,-0.00019134864415339603,6.36707505313852e-06,-0.0011819494647737384,-1.9741689142268487e-06,0.0019825770892544503,4.6196795307713555e-05,0.0005184234194330854,0.00011319400108471165,0.006045739709636125,0.00020810810504396824,0.006158597103930346,0.000343273606883462,0.008722803673648782,0.0005784315107429995,0.013511723217503787,0.000872636526214314,0.01346887236950285
0.0,1.43114720622628e-05,-0.002301171101701323,-5.538231554012945e-06,0.0003301454208365326,4.588774572784177e-06,0.0008564000993711331,1.4334503207085071e-05,0.0022188243639269687,1.7533268256456222e-05,-0.00043391398731153935,-2.972094440871919e-06,0.00023143669215087796,1.674658035938891e-05,0.0015182904977741863,6.379681212535518e-05,0.0021356258062937786,0.00012414190570581512,0.002375871590370281,0.000227017169151734,0.006706348919433058,0.00034265313511748133,0.007923926758904675,0.0005718596468878784,0.015166090288314933,0.0009135503464424944,0.015731717391034763
