‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,40000.0
simu_time,0.075
qty_x,11
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.01
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[0, 1]"
animation_speed,2
sampling_length,3000
vec_length,24







0.0,1.5200283886436831e-06,-0.00012595163924944425,-5.064519182748467e-05,-0.0024927155616368568,-4.27093611684322e-06,0.004401966243724766,6.412853532366579e-05,0.004237980928575612,0.00015498920389110118,0.0028761593463903635,0.00023031490774894458,0.00240478041121202,0.00023533790382985245,-0.00032799918837654536,0.0003151309675513194,0.0054542480746223206,0.00044548360509687467,0.008673970786983355,0.0006969383664407586,0.013542070340884678,0.0010125032980091383,0.012377501936980681,0.0012764451858891532,0.01092960587310479
0.0,8.887624228407803e-07,0.00022987685510264102,2.3612151795997372e-05,-0.0014362664487642214,2.697086688354359e-05,0.0015675122631367644,0.00011133932813637458,0.00240631825897827,0.00019031933265995865,0.006651917405428533,0.000266020399181864,0.0020087073601279246,0.0002996099365349576,-0.00019344325305446344,0.0003261500093862883,0.002421058817601067,0.00046833563920853735,0.011167701334611115,0.0007454959608607752,0.0116658155451892,0.0010189575787332666,0.011174429615550562,0.0013004853468285636,0.013111297036866693
0.0,-1.7440084016821885e-06,2.2795789105867314e-05,4.595654638013385e-05,0.0045615152330664,0.00010720114054339027,0.0017881780755454129,0.00015439467146045443,0.002402743259724289,0.00022657572295602582,0.0029217834100715525,0.00025998627332015267,0.0015051772259172356,0.0003112385739850137,0.0020677227578185403,0.0004192430509096279,0.006335448424968011,0.0005470671273070614,0.006713860077208458,0.0007512253167868536,0.011080438096335226,0.0009926320296156153,0.013909758613324595,0.001352424675941052,0.015574940917279768
0.0,-1.9429573265473797e-05,8.845532668724027e-05,4.033757587498756e-05,0.004436919564743085,0.0001628895266043275,0.005665896235628567,0.00022793626868160445,0.0008839136223934426,0.0002283763748212657,-0.00301920167328191,0.000251141783093183,0.004165810987403002,0.0003478140578425816,0.00782387689112298,0.000505088079820175,0.004485276136944336,0.0006045484790763792,0.005276746599947559,0.0007788865211082717,0.00865579315624239,0.0010181888788428288,0.0126067991115443,0.0012745887100377752,0.010815127317933581
0.0,2.1068459179888955e-05,0.00035025441466829225,0.00010055319815816907,0.002854666830652556,0.00016291663396959582,0.0037980078267927527,0.00022636164041919422,0.0012670581909147347,0.00025139971438346603,0.00150940126955215,0.00030837311402680083,0.0027710336081916043,0.0003959350416329184,0.004212954289773402,0.0005027221138087952,0.008818449241646164,0.0006925563051264434,0.007524052284850732,0.0008594421612553675,0.0057553328395344,0.0010152253587013458,0.00775954325439584,0.0011872602488623876,0.007680738894145019
0.0,7.828737077083633e-06,0.00011974436700947543,4.966947131701917e-05,0.003210767307066794,0.00014327585747382263,0.003946250767859731,0.00021330844633689596,0.0026516407741132984,0.0002944354500989076,0.004281697540571398,0.0003601384774178814,0.0023916962982919883,0.00043576179244244164,0.001127044604724625,0.0005561690995377579,0.009483103444350736,0.0007455669016802869,0.00845708109129295,0.0009152083014848603,0.007494840099828869,0.0010451492962847712,0.002309476779229023,0.0010523263390809648,-0.0009461393651861547
0.0,-2.034135784164412e-05,4.082432046791483e-06,-1.0692192887767836e-05,0.0011472862876450959,8.256854946065143e-05,0.00506841627431531,0.0002177735640667353,0.005258747415925845,0.00033100655629828425,0.003475196874810826,0.00038669029797736845,0.005638391478068247,0.0004974355454914496,0.005970431350896712,0.0006476106978073974,0.004395704974950738,0.0008046790881966808,0.00922434734589683,0.0009299815373824211,0.0031517504856864715,0.0010251296965942038,0.0040725705850517225,0.0010535556352641656,-0.0006541445163515863
0.0,-8.294209385735976e-08,2.3165318760338142e-05,2.2267714207719084e-05,0.00192716109261431,5.659478248826009e-05,0.0022363283888231075,0.00015484561328153317,0.006655202723692416,0.0003323819742899839,0.005503273180323831,0.00044059368526779973,0.005990674383921161,0.0006033547475387911,0.005687058620767424,0.0007263879611425056,0.0069563770190709685,0.0008591783113797909,0.003289657201499493,0.0009284357944048858,0.003107046991803982,0.0009825079965932791,0.006085367872310986,0.0011291890469149698,0.005244406804184787
0.0,-2.948406579480075e-05,0.00012038727446961675,2.4451616709215464e-05,0.002044314190195258,7.006143209440402e-05,0.002990611372011392,0.0001265939688612597,0.0034883438377440327,0.00027315929941407224,0.008648096852910587,0.0005116641288508807,0.010126745939656453,0.0007226751968342889,0.00768334500174406,0.0008134305065619098,0.003888145746777541,0.000855173999474596,0.0011906019808157649,0.0009210393786171857,0.0037890020776789185,0.0010318011082495093,0.004125079230592116,0.001061287059094777,0.0001261301580683682
0.0,6.906589229096389e-07,0.000153376863565006,2.0220285246246304e-05,-0.000561136175476999,3.0249704434204668e-05,0.001704860743220654,0.00013208653401659495,0.006880705016505624,0.0003020365252261957,0.007066311290010441,0.0005514811548944574,0.013384399595784142,0.0007618676766346608,0.005406839131654689,0.0008761851209198854,0.004552490000376033,0.0009214566056738705,0.0018157064193055784,0.0009375534896472693,-0.00030396074576290633,0.0010157476737423078,0.003579081141301944,0.0010853894246839594,0.00366446871625204
0.0,-8.985951386624481e-06,-0.00013596061971666066,-1.711476694257626e-05,0.0010284377338827114,1.576508892834999e-06,0.003283384512362021,0.0001665074435912602,0.008362922917587003,0.0003751444431676813,0.0095822632704252,0.0005664821788021975,0.009465495180748481,0.0007587956715736537,0.0050382545758164,0.000909906659576295,0.0076036765051035425,0.0010007952397803538,0.0015502208237586146,0.0009919368654215934,0.00013024995400432387,0.0010037480130418767,0.0026372294792870103,0.0010488455045153167,8.582984567107331e-05
0.0,-4.507026840337638e-05,1.9044889514619683e-05,-2.0409199913182373e-05,0.0009732269737413339,5.216434194470189e-05,0.004949798771776524,0.00019993356926684562,0.006249837225723172,0.0004088554211456721,0.00988093724339269,0.0005890846455116153,0.008866789352685148,0.0007792764538652628,0.007900072593120575,0.0009182663991147288,0.003787671602161314,0.0010190164425428984,0.0035388813528264983,0.0010771204939017073,0.001823632391061376,0.001055083948246943,-0.0028588193784565247,0.0009190972246372749,-0.008137153908381033
0.0,1.1500346850814019e-05,0.00024121224711572378,5.9278394866154304e-05,0.0016330097280928847,0.00013043632782726926,0.0031362842362245916,0.00022015065393871848,0.008828808789139494,0.0004304686243490747,0.0065087633375044696,0.0006132895298895507,0.00947230450200068,0.000794272872147903,0.005986785912590827,0.0009232897022198077,0.007186030102154552,0.0010687333643473484,0.006110464118823754,0.0011281314684147548,-0.001677797802786486,0.001047832295782977,-0.00330065281480556,0.0009548080270583611,-0.004987013996656667
0.0,1.5752373793944617e-06,0.00014242789842523727,6.239292071436001e-05,0.004477995272097213,0.00018903546323367586,0.006701627355318152,0.0003191253488828276,0.004171544674687683,0.00043691146610925667,0.006191615564435581,0.0005957964268089361,0.006494911517278092,0.0008083336413379756,0.009443075930040196,0.0009905819942306981,0.00857558968729608,0.0010923062045010653,0.0024242968178511183,0.001098520211845732,-0.0026849970009721886,0.0010859302057565777,-6.610158163725658e-05,0.001001590392769171,-0.005579891883863202
0.0,1.155375419021354e-06,0.00015996051723536959,6.511103039001866e-05,0.004723443607212271,0.00022171772050073264,0.008929171847349041,0.00037235100310192116,0.002516425160480315,0.0004811852097552289,0.005246685089987014,0.000616950970818584,0.009970980032822102,0.0008226840014458967,0.008406567712817815,0.0010121713470480748,0.007746624551183347,0.00109682746885885,0.0002467547272118789,0.0010864911562213744,0.0004842429250518248,0.001111893875986591,-0.0004869030612284251,0.0011130090292228402,0.0008914276840448056
0.0,2.0620713516931017e-05,0.00027449270156464046,0.0001050492099841326,0.005122604099362214,0.0002124625319058989,0.0054131045215430355,0.0003627837717201353,0.007004338011852738,0.0005433108661724663,0.007021002218542506,0.0007102723235741803,0.008172640848076406,0.0008443431182754872,0.0036513669949014534,0.0009642712162768085,0.004325660632968569,0.0010658228086805504,0.005694042883532701,0.0011333417579040986,0.0012760777485359088,0.0011381452582792323,0.002513224892573348,0.001181119964245159,-5.946250549384113e-05
0.0,-2.9496684333398363e-05,0.00016957178739298695,3.8535454887926e-05,0.0042028996955097075,0.0001981845088619492,0.007196167396990826,0.00038890008857953793,0.00925905267103621,0.0005986019093209863,0.010097296257777473,0.0007734584599531765,0.005336759315813396,0.0008746794591183938,0.00384194509825753,0.00094421023702444,0.0029827137952512313,0.001000614333311843,0.004567710769270192,0.0011534583194180202,0.005074552769904781,0.0012150760620500544,0.0029427573012844356,0.0012126826020911832,-0.0026607472556092124
