‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,10
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[0, 1]"
animation_speed,100
sampling_length,6000
vec_length,22







0.0,-6.595592563138974e-06,0.00022664810916760858,5.218438641197808e-05,0.000503319041760463,6.145607336846793e-05,-0.000684621583332343,-3.412417959963807e-05,-0.00347352478206585,-0.0001602134232698913,-0.0019473638847957485,-0.00013036232724098542,0.004168454181889547,-4.79975729561555e-05,0.0033436901521500697,8.81322621665892e-05,0.004412671409893954,0.0002658234153616274,0.010024947961493672,0.0005004829926327014,0.006851454424477213,0.0006881096981494418,0.007664597080830179
0.0,2.2293376227377125e-05,-4.391680863053398e-05,2.7557559087240077e-05,0.0025434007160620243,4.850407099923764e-05,-0.0010883486976586035,-4.187662387346687e-05,-0.005219808972396845,-0.00015079102103176254,-0.002885297497028447,-0.00014440525786681575,0.004333121802500259,-3.6681398641694114e-05,0.005464842298445904,9.96264640009799e-05,0.003863555137855708,0.0002617775518818489,0.007030603800646397,0.0005243807829172392,0.007097291525210871,0.0006596629587524074,0.0001934348323278049
0.0,1.2269039937594461e-05,5.929480845971727e-05,1.6217788021350295e-05,0.0002643749034019568,3.394326360443336e-05,-0.0008244496072103445,-4.7359466893553386e-05,-0.00467973123659931,-0.000145781366366759,-0.0022095209633689284,-0.00016293627513990275,0.00023167368602388565,-1.545920014292944e-05,0.006125299234206847,0.00010908872214157865,0.006138921291449462,0.0002699594583016192,0.007982024238574685,0.0005281022496954781,0.008110618735879732,0.0006561085017534364,-0.004409323315778106
0.0,-1.0699964287622644e-05,0.00011964319991143183,1.3492260057478985e-05,-0.0004278594564713027,8.372955012863157e-06,-0.0005972596353410745,-5.483590001647539e-05,-0.00552197215991288,-0.0001346793928341018,-0.004191781863941199,-0.00016210058921277686,0.0034616220120095467,-2.5034927511141053e-05,0.007485390368064902,0.0001240992751697041,0.003430598183930521,0.00029087020214767836,0.0096137227750374,0.0005201839702954168,0.006785976847795438,0.0007154606721119103,0.003737081411591156
0.0,-8.339313529063584e-06,-1.060624127471233e-05,-1.9997430815508857e-06,0.0010049502380904776,-1.5680424609599887e-05,-0.003998769411160782,-4.874150923119919e-05,-0.0016445460486384286,-0.00014318502508587467,-0.003487436156898363,-0.00015702717728804805,0.001980647381371162,-2.5286953322493736e-05,0.007124744812901467,0.00013304005278515232,0.005775471404493113,0.0003109007476962637,0.007642808532224689,0.0005166868374297842,0.006779122424072945,0.000781210291969407,0.014848441233769029
0.0,-8.863244177220703e-06,-5.3101933071936534e-05,-8.503332569900717e-06,4.584369611686711e-06,-3.5281884125949315e-05,-0.0005721532353408834,-6.436526265790019e-05,-0.000847672221548093,-0.0001367395917224844,-0.00408971035944861,-0.00015106714385415305,0.0022813637835131105,-3.2753302836485275e-05,0.00451035994395053,0.00014591292943099413,0.007830915850340691,0.0003400145233382983,0.006928368739664472,0.0005087327198684828,0.013601656549722261,0.0007854005169074779,0.013275836517114208
0.0,2.6574385980686882e-06,-7.149884050014377e-05,-2.0951407668632253e-05,-0.0015380224913547898,-5.3824300443076754e-05,0.0014288817655083565,-8.001477679869473e-05,-0.0026074055027677187,-0.00012821004552220734,-0.0026519368039026408,-0.00014091051443673687,0.002040657410219869,-4.002513647290375e-05,0.004834145690756647,0.0001610594709767039,0.011743506009617129,0.000342742048731685,0.004540092205884641,0.0005196897258723559,0.010924807992804498,0.000830979068231182,0.021110228815987245
0.0,1.5468196435233214e-05,-1.829997914426547e-05,-4.290629460127581e-05,-0.003396572154542752,-6.725031108836634e-05,-0.0022313795399432016,-8.54300783626972e-05,-0.0015898355067841352,-0.00013078728817146105,0.000979997532368878,-0.00012244188634142255,0.0010124112212054198,-5.6189495815629595e-05,0.007252494627924143,0.0001758018087572181,0.00805653023718025,0.0003594642074046772,0.007611233244662011,0.0005210325124561114,0.011001827734039954,0.0008251830405079599,0.01644550625353052
0.0,1.4792927688303756e-07,-6.46648174998553e-05,-4.516519314529449e-05,-0.0031227616982118047,-8.480222184823784e-05,-0.00029122082362704376,-0.00010972222198707388,-0.001402023753371675,-0.00012306333970466145,-0.00021683375060969662,-0.00011085028122851645,-0.0008976596046545443,-4.9764714070104614e-05,0.009833090924356929,0.0001770144992993379,0.009201208112333848,0.0003607267548959965,0.007070613410250872,0.0005415715473269394,0.008164218399478559,0.000808522982236197,0.011409368310966514
0.0,-1.5511704273366355e-05,-0.0001917738903993822,-4.6793329146015115e-05,-0.0009646215228441381,-0.00010644948006815702,-0.0006972785284469051,-0.00012950318389088876,-0.0013749059145368812,-0.00010421638043611861,0.0016315284529548335,-0.00012315236015339302,0.0008256092874873795,-3.22530686353038e-05,0.004912082257752163,0.000178729713168496,0.01032500329699175,0.00036194381728146043,0.006964885281268996,0.0005671540518103794,0.007362690948466061,0.0007681798404413348,0.002944176958099634
