‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,1e-07
fs,200000.0
simu_time,0.002
qty_x,28
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.008
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 0]"
jig_position,"[0, 1]"
animation_speed,10
sampling_length,400
vec_length,58







0.0,-1.720343788123228e-05,0.0005088228431202311,-2.9692658096887683e-06,0.002989467309672476,8.523878679183079e-06,-0.0008867424073542344,3.699939298055037e-06,-5.65447778356734e-05,-4.845417624618772e-06,-0.0011840235183384232,-6.121536184416171e-06,-7.23035129065988e-05,-8.268877207452374e-06,0.0013264799717618962,7.980853949252441e-06,0.0012799963811684014,2.1017083843076784e-05,0.0005291783036899306,1.939279436113816e-06,-0.0033625101663456907,-1.908775005807623e-05,-0.0007420803939092189,-2.101048211828206e-05,0.0005352008847197467,-7.426054324292641e-06,0.000520894259546329,8.40347640156058e-06,0.004053080619395265,3.4391123208919124e-05,0.0017433239659557765,3.305959575457162e-05,-0.002605948986389958,1.67259286106415e-05,-0.0019077668688832396,-1.0210615360003281e-05,-0.0027797584265737566,-4.4880214219549005e-05,-0.004321647661189003,-6.837088500864406e-05,-0.00031529681003155974,-7.198530868876233e-05,-0.0014607172229927714,-6.510365304154908e-05,0.0027912718438809028,-2.745362882828101e-05,0.00462024368099014,1.5626118891737752e-05,0.006433067572523279,7.752900164623582e-05,0.007851807407837506,0.00014696355149729142,0.0072030725316146035,0.00021888545840259053,0.007704943160730878,0.00029802861536898915,0.008979830333879066,0.0003695888294922014,0.007869687590748084
0.0,-6.73972797933271e-06,-0.00032951633273102505,3.0573929803404544e-06,0.002649853271027642,9.354515421092625e-06,-0.00048276984455204616,-5.433731128996931e-07,-0.002165731901361206,-1.6280091789288528e-05,-0.0015647965862465986,-7.886851755148106e-06,0.0033786681788126535,1.388772553259564e-05,0.0015002576682864022,2.2996079502154712e-05,-0.0014792428555000952,-2.051278110825379e-06,-0.0012711311453652186,-1.5717096447766188e-05,-0.0012271338884256662,-1.973106526934842e-05,3.673314445314662e-05,-1.532758241898086e-05,-0.0003038389152480511,3.3137316133161427e-06,0.004277524599188739,3.196275256697351e-05,0.0018415244377210241,3.794531912242367e-05,-0.0001903976357273184,2.250424432014165e-05,-0.0018743347938244273,5.712751784510585e-06,-0.003141003472954386,-2.9195928012510747e-05,-0.004380921991534713,-6.344170795611047e-05,-0.0019135583816443852,-7.141306602899637e-05,-0.00180930552060698,-7.690828787360197e-05,0.001966979539131504,-5.886962137522387e-05,0.002573934364205084,-1.6626535780812592e-05,0.004965554758575201,3.102935393359459e-05,0.005967788549513434,9.22724870523932e-05,0.008887666595558627,0.00016859562221710264,0.0075035194457192785,0.0002312438676803432,0.008483917750076455,0.00031998311084179855,0.008275690803430675,0.0003836801666978352,0.007123269351849954
0.0,3.7814147997296886e-05,-0.0027957021037015323,1.128934471358312e-05,-0.00287834400941008,-1.2171864159534405e-05,-0.0023675876921788563,-1.6178998493342356e-05,0.002296881332099083,2.006530827142576e-06,0.0006596633618923889,1.5391875162911418e-05,0.0007255475712200869,1.148118551046344e-05,-0.001013166963572636,5.916757173711075e-06,8.469993680285684e-05,-8.458906318809555e-06,-0.001839036968458661,-2.3233126881687153e-05,-0.0017532159322439333,-2.5546475801550814e-05,0.0010132260557888266,3.1421863804863976e-06,0.0036616090514486914,2.693046000585366e-05,0.0021047731244764278,3.460647251261709e-05,0.00022477185712055272,3.238193369352938e-05,1.9594392024269745e-05,1.8615392578168406e-05,-0.003426319288184181,-1.2889125235271197e-05,-0.005269712018433053,-5.230186536631905e-05,-0.0011550031073909758,-6.601890785525795e-05,-0.002986186536667275,-8.2881356860379e-05,-0.0011135376002606354,-7.503820961123638e-05,0.002721622017041318,-4.8873017919769724e-05,0.004158412969148224,-6.832967424413108e-06,0.005290625079062702,4.2580173763902785e-05,0.005550272666044936,0.00011402361721725439,0.009247319166193264,0.0001804097499399778,0.00723990451381526,0.00025115767956629436,0.009003440014095707,0.00033604875003071915,0.008029009606941825,0.0004016939393112087,0.0074653158177738965
0.0,5.15709014430304e-06,-0.0005663329947749233,-2.8392289622117185e-06,-0.0012842587374573733,-9.271029212177145e-06,-0.0004303142993241924,-1.0035699848986109e-05,0.001455616457252505,7.507943568477955e-06,0.001637156095898536,2.256393700027624e-05,0.0009766817110292917,1.4066234396465035e-05,-0.0021964860497677807,-1.2822747962802482e-05,-0.0036125019463027334,-2.8908494468186304e-05,0.00030300274108870085,-2.016709696048181e-05,0.0015165706209663127,-2.5342879026687105e-06,0.002183052179568186,1.4111193436763099e-05,0.0008547121721024801,3.061566103058991e-05,0.0029602896782506107,4.538355583788494e-05,0.0005074402214236787,2.6534242082131376e-05,-0.0037181848492437836,-7.833017034644796e-07,-0.003882884808371583,-3.286503782240269e-05,-0.0026436975303196736,-5.598210587379919e-05,-0.002221106335146558,-8.154261569515472e-05,-0.003323261173493517,-8.967711474095304e-05,0.002372324930681405,-6.379143874695543e-05,0.0007161619336447842,-4.3744641943609354e-05,0.004736257213705523,1.02075137182114e-06,0.006575078052188605,6.495547427844866e-05,0.0071662175648126965,0.00012225506459303422,0.007280049028396138,0.00019791024194469123,0.00811420220370356,0.00027174868480764477,0.008156708746965008,0.0003469400172659308,0.007363950043665317,0.0004285977387135198,0.011049706984466114
0.0,-3.573527774786751e-05,-0.0002659096047136401,-2.513609092774194e-05,0.0027322558103889394,-4.10964774997061e-06,0.0031263080457725433,1.7923717685694976e-05,0.0003497095215545183,1.7104579074549533e-05,-0.0006023190842523018,5.152780320349672e-06,-0.0016718130459280546,-4.070818466739334e-06,-0.00015085325813762602,-1.917977288691659e-05,-0.0015442990023402851,-2.2322486023800566e-05,-0.0008515625702234357,-2.1695283003619042e-05,0.0021555732552509055,8.740843253891669e-06,0.004280717486639213,3.5276910008919326e-05,7.172855104567823e-05,4.35429737739296e-05,0.0014676472036463033,3.028235340256644e-05,-0.0029431552155565048,1.4829242055114955e-05,-0.0008105177251814645,-7.81279678480618e-06,-0.0036206364748153767,-4.96338475022946e-05,-0.0053654055337106765,-7.629572434769241e-05,-0.0015931687096569325,-8.270152167110464e-05,-0.0007782390477352361,-8.36761975823178e-05,0.0019708825544753244,-6.915556979924855e-05,0.002400023949685558,-3.362669642991989e-05,0.004661712686685054,1.8104676788482344e-05,0.006408309079909964,7.67792177450294e-05,0.005955141850742514,0.00013430940344995621,0.00891033656308795,0.00021706774332538756,0.008533039303545131,0.00028913798213429644,0.007021176434786648,0.00035744892871992167,0.008774352199661991,0.0004498826403277908,0.01136371766859889
0.0,-2.9888549790522434e-05,0.0017337829573062778,-1.696276535665639e-05,0.0007165851665028659,-1.989082067367428e-06,0.00335358304525911,2.4829931896368187e-05,0.0018598065711932488,2.030069508539281e-05,-0.0023412952211171473,7.913823045814182e-07,-0.0025534588820112893,-2.7490135246281977e-05,-0.003458187407383393,-2.970570212028792e-05,0.0028780632419487,-1.3875946879142822e-05,0.001610546280830296,2.1302808791238806e-06,0.0019289001995983959,2.216958631807081e-05,0.002210553708543018,3.179936140898567e-05,0.0007408420517887353,4.8114181633358473e-05,-1.0413720517906166e-05,3.3435961702012175e-05,-0.0024743259096787146,-2.8615918765980345e-06,-0.004288405176759915,-3.298866889684224e-05,-0.0018982619855277645,-5.7241983028703275e-05,-0.004553883293935388,-7.886698574613911e-05,-0.0010477438741254097,-9.294559779450263e-05,-0.0003393871302916165,-8.921846235410795e-05,0.0016491492752476159,-5.592238028972986e-05,0.004071990357697444,-1.873311685410064e-05,0.0039349916083115215,1.9108196279667813e-05,0.0063831951163984746,9.08260715320975e-05,0.008295683515607893,0.00016140203172799555,0.00763905733349093,0.00022021029287190322,0.0061842368331945065,0.00030349643530975677,0.010832139715894739,0.00038326344982384143,0.008218655800556982,0.0004442269697985215,0.005686101448290924
0.0,1.3154002481290077e-05,-0.0006370388836650681,1.5375078035392006e-05,0.0009040588114003142,9.662530416931058e-06,-0.000714094170928138,1.1420366178845798e-05,0.00030613368632536817,8.474810435696649e-07,-0.0019300618517751526,-4.3691939253757035e-06,-0.0014702958771930987,-2.5306150619788114e-05,-0.0017014393542744974,-3.196034985931853e-05,0.0010931220934936336,-1.0726019259259459e-05,0.0032596182393713996,1.442423379962521e-05,0.0027219011603178333,4.4947685490214005e-05,0.0012216957428310157,4.253740035831511e-05,-4.9633115738783545e-05,2.8986335724803735e-05,-0.0012348810178473718,2.1767160061002474e-05,-0.002254567119025621,-8.31411126913825e-06,-0.004613580609786043,-4.3767893440705936e-05,-0.0030923019199088813,-7.650534063686987e-05,-0.0033318464655434214,-9.137327563346167e-05,-0.0003816635340450924,-8.898193641483949e-05,0.001386523947655684,-7.794347711148787e-05,0.000670587642607774,-6.39552671179347e-05,0.0031798826610063033,-9.43651064488111e-06,0.006915758588870135,4.556412852786408e-05,0.006267791212579497,9.731769387267831e-05,0.005572730644140959,0.00016563194799927052,0.010517116484569768,0.00024852696600887565,0.007719892840810851,0.00031707049700713214,0.007066620140694171,0.0003876762681836172,0.009346065598168323,0.00047849251866640254,0.010541577304453976
0.0,3.0012495271599106e-05,0.0026180775504530294,3.860635140548374e-05,-0.0007042224160263056,2.95575550891121e-05,-0.0033048990241256403,-2.6056354391905435e-08,-0.0020354680430989896,-2.2056438094983095e-05,-0.001984421808653396,-2.7477223048354866e-05,0.00038747767256308693,-1.715867753303391e-05,0.0012425974070553478,-1.4455116624868459e-05,-0.00013209769720300702,5.1268576271103274e-06,0.003550364536279541,1.9142214666997103e-05,0.0012026248835697347,4.314053276810027e-05,0.0031402935783704884,5.456132828774884e-05,-0.002194835235459667,3.058621211340202e-05,-0.0020923176958080308,-2.170596941175277e-06,-0.002839091163448228,-2.604029585081752e-05,-0.004004676649012929,-5.5353629685877364e-05,-0.0027334476574405664,-7.877799867859216e-05,-0.002738242786911756,-9.630472341931836e-05,-0.0016576373417894145,-0.00010181846982949465,0.0015734750417844099,-7.341693441896776e-05,0.004055107943532973,-3.98381523457086e-05,0.004084061348494826,-1.1041535072018e-05,0.0033928506668953052,4.906117133206213e-05,0.007863232111677512,0.00012217152626303458,0.008969794998948207,0.00018377943595635046,0.006144726530060612,0.00024946318181901075,0.007742204352038735,0.00033371483156605753,0.01073569793499689,0.00041158851661119453,0.00713689644477144,0.00047551060047207105,0.007189150735476737
0.0,1.7939512456615814e-05,0.004223163289986034,4.1184998580315365e-05,-0.0002879229973318443,3.0019925664229602e-05,-0.002346727182515099,1.3781791071201306e-06,-0.0021859151201833833,-3.125022536388293e-05,-0.0036971121341721697,-4.440975214648271e-05,0.0003145556981957829,-2.2687946254557066e-05,0.003360456719049183,4.93564368476822e-06,0.0015689925706666647,2.3935626996466963e-05,0.00382250217700523,4.0703808673477804e-05,-0.00014579593018223383,3.345762542658005e-05,-0.0006500975703498233,4.334832297790111e-05,0.0009146599833144863,2.7458445064761067e-05,-0.002747629972073432,-6.116942368991e-06,-0.005499966877549949,-4.351720523055621e-05,-0.0035274768392325045,-7.353079393820298e-05,-0.0012963487330214475,-8.940267252319662e-05,-0.002643232574885471,-9.60186033883864e-05,0.0007428153288867729,-9.001472042078922e-05,-0.0006453368276811127,-8.164693721137089e-05,0.0041919114684287155,-4.1395809431249063e-05,0.005325881169965346,1.6970027113208666e-05,0.006042120560208851,6.340152835018458e-05,0.005080676536322651,0.00011796322719430118,0.007424699532286107,0.0002003500101478719,0.009947991162152437,0.0002776617516220149,0.008604609160164561,0.0003404244271869489,0.005665034115349089,0.00041622227679719335,0.01003263474278787,0.0005084953337654277,0.010787682053785589
0.0,-1.25502166739564e-06,0.0036789148386609316,2.0022628528251888e-05,0.0003986557601793298,1.3894247699430455e-05,-0.002454946336394893,-3.522222747192632e-06,9.041726687447017e-06,-1.9879885427982494e-05,-0.003925218000107369,-4.198634307014427e-05,-0.00043995165892001746,-2.5098643464363338e-05,0.0034084788409541947,9.425295752750827e-06,0.0041341430201389485,3.5663220791445884e-05,0.0029492051846763765,5.6885497390464585e-05,0.00019510408661625684,4.680265273124428e-05,-0.002422186784682351,2.4410344428414905e-05,-0.001912011129575459,5.539931919486957e-06,-0.0017670041057034447,-1.343872508313333e-05,-0.002930156036047487,-4.739236644188867e-05,-0.00490027098718583,-8.800566477749012e-05,-0.003387317442386006,-9.671319135420986e-05,-0.0005486601301282798,-0.0001046621829933844,0.000280605806187729,-8.767800734063968e-05,0.003537949721667313,-6.627335240779988e-05,0.0022291875383621987,-3.263383729855569e-05,0.003959513294244417,1.0694631035773141e-05,0.006789552222342207,7.835455771689781e-05,0.007411577847550144,0.000150332235273803,0.007421980508893511,0.00020199373450101852,0.00691053076645896,0.00027783150366334506,0.008273341926504958,0.0003636130863579349,0.010621873198850391,0.0004403338991519788,0.007352285713741353,0.0004953447065913266,0.005239800959496388
